federation_level,x,x_translation,y
Czech Republic,"в закрепе есть больницы по городам ua points, я ходила туда, когда отвечают что такого не делают или заняты, спрашивайте у них а куда можно? и они подскажут. мне нужна была справка на работу, пол дня и готово) пришлось правда побегать, только на 3 адресе повезло)","There are hospitals in different cities in Ukraine where you can go to get medical help. If they cannot provide the service you need, ask them where you can go and they will advise you. I needed a certificate for work and it took half a day to get it done. I had to go to three different addresses before I found the right place. ",
Spain,Ну если котедж снимать то и в 800 не вложитесь. Обычные две спальни в Чиривелле или Торренте или другом пригороде Валенсии улетали за 300-400 на ура,"If you rent a cottage, you won't be able to fit in 800. Regular two-bedroom apartments in Chirivella or Torrente or another suburb of Valencia flew for 300-400 with ease.",
France,Всем привет. Кто как поддерживает жизнь украинских сим-карт? Не хочется потерять свой номер и номер сына. Нужно только на полную сумму пакет пополнять ежемесячно? Пробовала закинуть 50грн и сделать вызов на Украину - не дало :(,Hello everyone. How do you maintain the life of Ukrainian SIM cards? I don't want to lose my number and my son's number. Do I need to top up the package for the full amount every month? I tried to add 50 UAH and make a call to Ukraine - it didn't work :( ,
Belgium,"Можно ещё положить доллары на счёт в евро, чтобы их зачислили в евро. Я недавно разбирался с этой возможностью в одном из банков. Там много нюансов, но в целом - возможно.","It is possible to deposit dollars into a euro account so that they are credited in euros. I recently looked into this possibility at one of the banks. There are many nuances, but overall - it is possible.",
France,"Какие то выписки из банка с заправки. Ехала на машине. По банковской карте только что типа вот списание что пила кофе в Украине, на заправку заехала а потом уже на след день чеки из заправки Венгрии.","Some bank statements from a gas station. I was driving a car. On the bank card, there is a charge for coffee in Ukraine, then I stopped at a gas station, and the next day there were receipts from a gas station in Hungary.",
Switzerland,"Добрий день. Підкажіть будь-ласка, у мого чоловіка прихватило дуже спину. Чи можна в аптеці купити якісь уколи без рецепту або свічі? Ми не маємо в Швейцарії прихистку. Дякую.","Good afternoon. Please advise, my husband has a very sore back. Can we buy some injections or candles without a prescription at the pharmacy? We don't have a shelter in Switzerland. Thank you.",
Germany,"Один платный а второй бесплатный. Бесплатный вроде как терария называется, или что-то похожее на это слово.","One is paid and the other is free. The free one is called something like a terrarium, or something similar to that word.",
Portugal,"Yes you can apply from anywhere, just keep in mind that you need to provide an address in Portugal to get the documents that are sent by mail","You can apply from anywhere, but please note that you need to provide a Portuguese address to receive documents sent by mail.",
Spain,"🇺🇦‼️Добрый вечер. Подскажите, пожалуйста. Нам надо прописаться, снимаем жильё. Просят перевести детские свидетельства о рождении ребёнка (украинские) на испанский . Кто с этим сталкивался. В Порт де Сагунто занимаются кто-то такими переводами,это обязательно? Куда обращаться? Заранее спасибо 🙏 пожалуйста , напишите кто с таким сталкивался?","Good evening. Please advise. We need to register, we are renting an apartment. They ask to translate the child's birth certificates (Ukrainian) into Spanish. Has anyone faced this? Does someone in Port de Sagunto deal with such translations, is it mandatory? Where to go? Thank you in advance 🙏 please write if someone has faced this.",
France,"Добрый день, подскажите где можно найти жильё в Ницце для 6 человек, 3 ребёнка (10,12,15 лет) и 3-е взрослых, сейчас Ницца размещает в спорт залах либо просят ехать в другой регион. Я беременна и вариант со спорт залом не подходит( Может есть контакты кто недорого сдаёт квартиру, буду очень благодарна за ответ🙏🏻","Hello, please advise where to find accommodation in Nice for 6 people, 3 children (10, 12, 15 years old) and 3 adults. Currently, Nice is accommodating people in sports halls or asking them to go to another region. I am pregnant and the option with a sports hall does not suit me. Maybe there are contacts who rent an apartment inexpensively, I will be very grateful for the answer. ",
Belgium,"Если вдруг кто-то будет съезжать с арендуемой квартиры или дома, напишите, пожалуйста, ищу жилье для 4 человек ( родители и двое детей)","If someone is moving out of a rented apartment or house, please write, I am looking for housing for 4 people (parents and two children).",
France,"Если Вам нужно ехать дальше в другую страну или другой город, то Берлин предоставляет бесплатные билеты на ближайший поезд. Мы так ехали во Францию. Через Берлин и Кёльн.","If you need to travel further to another country or city, Berlin provides free tickets for the nearest train. We traveled to France this way, through Berlin and Cologne.",
Switzerland,"Хочу сообщить вам новость,неутешительную…Только что встретили человека,работавшую в нашем общежитии (сейчас сменилась команда,,другая компания работает),она рассказала,что ездила смотреть возможное новое место работы…лагерь для наших беженцев.Не скажу конкретное место,но это далеко от населенного пункта,огромный ангар,без окон …Вместо обслуживающего персонала набирают здоровых мужиков.Еду будут подвозить…Такие реалии,а не сказки о дворцах через неделю","I want to inform you of some sad news... Just met a person who used to work in our refugee camp (now a different team and company are working there), she told me that she went to see a possible new job... a camp for our refugees. I can't say the exact location, but it's far from the settlement, a huge hangar without windows... Instead of service staff, they are hiring healthy men. Food will be delivered... These are the realities, not fairy tales about palaces in a week.",
Germany,"Жінка з двома дітьми 16 і 17 років шукає сім'ю, яка візьме на квартиру. Зараз тимчасово проживає Фрідбергу Баварії.","A woman with two children aged 16 and 17 is looking for a family who will take them into their apartment. Currently temporarily residing in Friedberg, Bavaria.",
Germany,Добрый день! Скажите пожалуйста. Кто знает будет ли продление 9 евро билет за сентябрь? И будет ли 9 евро билет до конца конца года? Спасибо,"Hello! Please tell me, will there be an extension of the 9 euro ticket for September? And will there be a 9 euro ticket until the end of the year? Thank you.",
France,"Здравствуйте, сегодня пошли в СРАМ оформлять мед страховку но нас не приняли так как сказали что она автоматически прийдет нам на емайл после оформления временной защиты. Но я такую информацию не слышал в центре в потр де версаль. Нам там наоборот сказали что мед страховкой занимается СРАМ. Кто то может подтвердить кто из них прав?","Hello, today we went to the SRAM to apply for medical insurance, but they did not accept us because they said it will automatically come to our email after obtaining temporary protection. But I have not heard such information in the Versailles center. On the contrary, they told us that SRAM is responsible for medical insurance. Can someone confirm who is right? ",
France,"У нас в префектуре спрашивали сертификат вакцинации. Я вакцинирована, а дочь 16 лет - нет. Сказали срочно сделать вакцинацию!","In our prefecture, they asked for a vaccination certificate. I am vaccinated, but my 16-year-old daughter is not. They said to urgently get vaccinated!",
Portugal,"I offer my family home at Figueira da Foz. I can receive a family or stay with children, or help with any other way. Contact me.","I offer my family home at Figueira da Foz. I can receive a family or stay with children, or help with any other way. Contact me.",
Belgium,"Скажите, пожалуйста, мне правильную комиссию назвали 12 евро с 200 евро? Узнавала в отделении Bpost. Система ria. Просила пополнить карту монобанка. Что не так делаю/прошу? Или это нормальная комиссия? Экономнее никак не пополнить свою же карту?","Please tell me, did they name me the correct commission of 12 euros from 200 euros? I inquired at the Bpost branch. The system is Ria. I asked to top up my Monobank card. What am I doing wrong or asking for? Or is this a normal commission? Is there no cheaper way to top up my own card?",
Spain,"Доброй ночи Давно не читал чат, и спросить не у кого, подскажите с Франции в Испанию и обратно, поезда бесплатные для украинцев?","Good evening. I haven't read the chat for a long time, and I have no one to ask, can you tell me if trains from France to Spain and back are free for Ukrainians?",
Switzerland,"семья, в который мы живем, посмотрела наши страховые документы - там только медицина. сегодня будут уточнять в своей страховой, у них вроде включены такие случаи (ущерб от гостей)",Our host family looked at our insurance documents and saw that it only covers medical expenses. Today they will clarify with their insurance company if such cases are included (damage from guests).,
Belgium,Україна понад усе!!! Підскажіть де взяти на максікозі шосе ( кольоса) для тимчасового використання замість коляски? Я знаходжусь в Локерені 🙏,"""Can anyone advise where to get a maxi-cosi car seat (or stroller) for temporary use instead of a wheelchair? I am in Lokeren 🙏""",
Germany,"Доброй ночи. Сейчас свекровь едет из Пшемисл в Берлин, билет дали бесплатно. Но она новоприбывшая, они смотрят дату пересечения границы.","Good evening. My mother-in-law is currently traveling from Przemysl to Berlin with a free ticket. However, she is a newcomer and they are checking the date of crossing the border. ",
Switzerland,"Можно снять точно, я снимала. Конвертация из гривны в евро по НБУ и потом во франки на Швейцарской стороне, если я не ошибаюсь.","It is possible to withdraw money, I did it myself. Conversion from hryvnia to euro according to the NBU rate and then to francs on the Swiss side, if I'm not mistaken.",
Czech Republic,"Отнести нужно будет в страховую документ, что Вы стали на учёт. Государство будет покрывать страховку. А какие ещё выплаты? С какой радости? Вы здесь до этого работали и делали отчисления, чтобы получать выплаты по безработице?!",You need to take it to the insurance document that you have registered. The state will cover the insurance. What other payments? Why? Did you work here before and make contributions to receive unemployment benefits?! ,
France,"Добрый день, у кого CAF вимагав свідоцтво про народження, шлюб і розірвання шлюбу. Ви подавали з перекладом довільним, чи потрібен переклад офіційний з завірянням?","Good afternoon, for those who CAF demanded a birth certificate, marriage and divorce. Did you submit a translation on your own or is an official translation with certification required?",
Spain,"Друзі, підкажіть, чи є якась інформація чи надає Іспанія допомогу онко хворим з України ? Треба допомогти хлопцю зі Львова, йому потрібна операція, але з України може виїхати лише після підтвердження лікування у якомусь конкретному госпіталі. Чи можливо хтось чув про інші країни , я знайшла тільки Ізраїль , але виключно для дітей. Дякую !🙏🏻","Friends, can you tell me if there is any information or if Spain provides assistance to cancer patients from Ukraine? We need to help a guy from Lviv, he needs an operation, but he can only leave Ukraine after confirmation of treatment at a specific hospital. Has anyone heard of other countries? I found only Israel, but only for children. Thank you! 🙏🏻",
France,"Пожалуйста, подскажите предоставляют ли жилье сейчас?..я с мамой и котом, очень боюсь остаться на улице","Please let me know if accommodation is currently being provided. I am with my mother and cat, and I am very afraid of being left on the street.",
Belgium,"Привіт, в центрі Брюсселя, біля Макдональдса обмінники є. За 100$ давали 89€ Або в банку, якщо ви клієнт цього банка.","Hello, there are exchange offices near McDonald's in the center of Brussels. They gave 89€ for 100$. Or in a bank, if you are a client of this bank.",
Belgium,"Не волнуйтесь! Роды для вас будут бесплатны(их оплатит страховка). Главное, поспешите подать на защиту и начинайте оформлять карту А , страховку и т.д В закреплённых сообщениях сверху прочитайте, какие ваши действия после запроса защиты. Всего вас доброго.","Don't worry! The childbirth will be free for you (it will be paid by insurance). The main thing is to hurry up and apply for protection and start getting a card A, insurance, etc. In the pinned messages, read what to do after requesting protection. All the best to you.",
Czech Republic,"Я о стоматологии за деньги. А не о любом. Завтра, это образно, ну, на неделе можно. Но не ждать месяц- два не пойми чего…","I am talking about paying for dental services. Not just any services. Tomorrow, figuratively speaking, or sometime next week is fine. But not waiting for a month or two for who knows what...",
Czech Republic,"А якщо я їду в Україну за рідною сестрою їй 12 років ,вона вперше буде пересікати кордон її ж впустять без паспорта закордонного ,а я собі зроблю паспорт","If I am going to Ukraine for my sister who is 12 years old and will be crossing the border for the first time, will they let her in without a foreign passport, and can I get a passport for myself?",
Portugal,"Добрый день) подскажите, пожалуйста, есть ли возможность обменять гривны в Порто? Принимают где то нашу валюту?","Hello, please tell me if it is possible to exchange hryvnias in Porto? Is our currency accepted somewhere?",
Switzerland,"Там рядом должна быть автобусная станция Но лучше ехать поездом с пересадками, и быстрее и комфортнее и безопаснее","Nearby there should be a bus station, but it's better to take a train with transfers, it's faster, more comfortable and safer.",
France,"По идее можно делать в приложении на телефоне своего украинского банка, здесь ооочень все сложно и особенно если нет документов местных невозможно","In theory, you can do it in the application of your Ukrainian bank on your phone, here everything is very complicated, especially if you don't have local documents.",
Belgium,"Доброе утро. Подскажите пожалуйста. Билеты в Кукенхов можно купить только онлайн? Если нет билетов , ехать нет смысла, не пустят? И он для всех 19 евро? Мы хотели поехать, но сомневались как это работает. Спасибо","Good morning. Can you please advise if tickets to Kukenhof can only be purchased online? If there are no tickets available, is it pointless to go as we will not be allowed in? And is the price 19 euros for everyone? We wanted to go but were unsure how it works. Thank you.",
Spain,"Извините, может подскажете тогда,хорошее обезболивающие?просто как мне объяснили,к врачу я могу попасть только после получения документов,поэтому с рецептом пока никак((((","""Excuse me, can you recommend a good painkiller? Just as I was told, I can only see a doctor after receiving documents, so I can't get a prescription yet ((((."" ",
Spain,"Чула, що наразі українці не можуть подаватись, як біженці, тільки тимчасовий прихисток. Можливо хтось має більше інформації","I heard that currently Ukrainians cannot apply as refugees, only for temporary shelter. Maybe someone has more information.",
France,"Добрый день подскажите пожалуйста как добраться из Парижа в Ниццу бесплатно, есть и ли варианты. В инете нашли что есть скоростной поезд возможно ли на него получить бесплатные билеты.","Hello, please tell me how to get from Paris to Nice for free, are there any options? We found on the internet that there is a high-speed train, is it possible to get free tickets for it? ",
Czech Republic,"Добрый день! Подскажите, пожалуйста, кто владеет информацией: сделала перевод денег через чешский Райфайзен в Украину по свифт, деньги не дошли за 1, 5 месяца, оформила заявку на возврат денег и от банка уже 45 дней нет н какой информации. Что я могу предпринять? Куда обратиться за помощью? В полицию? В консульство?","Hello! Please tell me who has information: I made a money transfer through Czech Raiffeisen to Ukraine via SWIFT, the money did not arrive for 1.5 months, I applied for a refund and there has been no information from the bank for 45 days. What can I do? Where can I turn for help? To the police? To the consulate?",
Spain,Ви в яку сторону від Марбеї? На схід чи захід? Бо 10 км це або Calahonda або Atalaya дивлячись в яку сторону,"""Which way are you from Marbella? East or West? Because 10 km is either Calahonda or Atalaya depending on which way you're looking."" ",
Belgium,"Доброго дня! Прошу поради: підкажіть, які умови потрібно виконати людині, щоб за рахунок виплат, зробити позапланову операцію? Картка А, місце реєстрації, наявність виплат, страховка? робота? І який термін, по вашому це може зайняти, якщо тільки приїхала людина і проживає у Аріані? Буду вдячним за любу відповідь","Hello! I need advice: what conditions does a person need to meet in order to pay for an unplanned operation? Card A, place of registration, availability of payments, insurance? Work? And what is the deadline, in your opinion, if a person has just arrived and is living in Arian? I would be grateful for any answer.",
Germany,"Ни за что Вы не должны платить. Если хотите, можете их отблагодарить. Город Вас не заселил. Просто город собирает предложения людей, готовых принять беженцев и играет роль посредника между ими и Вами, кому негде жить.","You do not have to pay for anything. If you want, you can thank them. The city did not settle you. The city simply collects offers from people willing to accept refugees and acts as an intermediary between them and those who have nowhere to live.",
Germany,"Добрый день! Скажите может кто-то знает, Есть прямой автобус Мукачево Дортмунд или Львов Дортмунд? Если можете поделитесь контактами!","Hello! Can someone tell me if there is a direct bus from Mukachevo to Dortmund or Lviv to Dortmund? If you can, please share the contacts!",
Switzerland,Может знаете: Как у вас кантоне с количеством беженцев? Сильно перегружен? Как обстоят дела на рынке труда? На сколько сложно устроиться на работу?,Do you know how many refugees are in your canton? Is it heavily overloaded? How is the job market? How difficult is it to find a job? ,
Germany,Скажите пожалуйста просят все документы и свидетельство о рождении и брака на немецком языке где их брать и как их сделать?,"Please tell me, they are asking for all documents and birth and marriage certificates in German, where to get them and how to make them?",
Switzerland,"Я платила за беженцев. Никакой скидки не было, страховка не оплачивает. В оптике сказали, что много беженцев сейчас пользуется их предложением очки за 47 франков.","I paid for refugees. There was no discount, insurance did not cover it. In the optics, they said that many refugees are now using their offer of glasses for 47 francs.",
Belgium,"Найпростіше покласти готівку на ваш бельгійський рахунок і самостійно зробити онлайн-переказ. Також можна у відділенні банку переказати готівку. Якщо є українська картка в євро, можна зробити переказ через SWIFT в українському банку.","The easiest way is to deposit cash into your Belgian account and make an online transfer yourself. You can also transfer cash at a bank branch. If you have a Ukrainian card in euros, you can make a transfer through SWIFT to a Ukrainian bank.",
Portugal,"Якщо ви зареєструвалися в поліклініці- це вже добре. Так для справки: в Португалії 60 % населення не має сімейного лікаря , в таких випадках при наявності симптомів ,або хронічних зазворюваннях огляд проводить черговий лікар ( médico de recurso). До слова ,місцеве населення окрім державної служби охорони здоров'я при можливості користується послугами приватних клінік ,оформляючи медичну страхівку.","If you have registered at the polyclinic, that's already good. Just for your information: in Portugal, 60% of the population does not have a family doctor, in such cases, if there are symptoms or chronic illnesses, the duty doctor (médico de recurso) conducts the examination. By the way, the local population, in addition to the state health service, uses the services of private clinics, obtaining medical insurance if possible.",
Germany,"Доброе утро, подскажите, пожалуйста, может кто знает где можно купить чай от простуды, типа фармацитрона или колдрекса. Слышала что есть много похожих лекарств в Rossman, но не знаю названий. Или лучше сходить в аптеку, я думаю они без рецепта должны такое продавать?","Good morning, please tell me, does anyone know where I can buy cold tea, like Pharmatriton or Coldrex? I heard that there are many similar medicines in Rossman, but I don't know the names. Or is it better to go to a pharmacy, I think they should sell it without a prescription?",
Portugal,"доброго дня підкажіть, будь ласка, прийшли оформлювати виплати біженцям seguranca на алжеші ніхто не спілкується англійською просто тикнули, що потрібен appointment і нічого не пояснили я зайшла на цей сайт https://siga.marcacaodeatendimento.pt/Marcacao/Entidades# і там якось зареєструвалася але я так розумію, що це просто через 8 робочів днів прийде лист з кодом і це не апойтмент","Hello, please advise. We came to apply for refugee payments at Seguranca in Algesh, but no one speaks English. They just pointed out that an appointment is needed and did not explain anything. I went to this website https://siga.marcacaodeatendimento.pt/Marcacao/Entidades# and somehow registered there, but I understand that it will just take 8 working days to receive a letter with a code and this is not an appointment. ",
Spain,Ну это тоже смотря как посмотреть. И смотря с чем вы сталкивались. У меня очень плохие воспоминания о украинской медицине.,"Well, it depends on how you look at it. And it depends on what you have encountered. I have very bad memories of Ukrainian medicine.",
France,"Мои пошли уже, тоже 5 лет, отношение отличнейшее, дети обожают школу. За прививки спросили, но мы из Харькова и их никак не взять, приняли) у детей с языком проблем нет, они конечно не понимают но им пофиг)","My friends have already sent their children to school for 5 years, the attitude is excellent, the children love the school. They asked about vaccinations, but we are from Kharkiv and cannot get them, so they accepted it. The children have no language problems, of course, they do not understand, but they do not care. ",
Switzerland,"Доброго дня. Підкажіть, будь-ласка, я в Лугано, куди потрібно звернутись, щоб рецепт на ліки від тиску виписали безкоштовно. Дякую.","Good day. Please advise me, I am in Lugano, where should I go to get a prescription for blood pressure medication for free. Thank you.",
Belgium,"А ещё вам надо понимать что если вы и оформляете статус беженца, возможно придётся отказаться от имущества на территории родной страны.","And you also need to understand that if you apply for refugee status, you may have to give up your property in your home country.",
Poland,"Здравствуйте, мы в Варшаве . Может быть у кого-то есть антибиотик ( амоксицилиновой группы ) пожалуйста выручайте","Hello, we are in Warsaw. Does anyone have an antibiotic (of the amoxicillin group) please help.",
France,"Деление происходит на зоны, соответственно 1-5 это зона, которая позволяет поехать в аэропорта, Версаль и т.д. Регион иль-де-франс. И вы можете купить одноразовый билет, дневной, недельный, месячный на любые необходимые вам зоны. #транспорт #париж","Dividing is done by zones, so 1-5 is a zone that allows you to go to the airport, Versailles, etc. The region is Île-de-France. And you can buy a one-time ticket, daily, weekly, monthly for any zones you need. #transport #paris",
Germany,"Не только на западной. На прошлой неделе слышал разговор, что в моем Днепре семье беженцев предлагали двушку от 14 до 30 в месяц. Ну и про ЗУ, буквально вчера коллега жаловалась, что сняла однушку за 11 или 13 штук, причем хозяин требует оплату исключительно долярами. Да уж, война столько .ерьма повытаскивала наружу, что аж страшно","Not only in the west. Last week I heard a conversation that in my Dnipro, a family of refugees was offered a two-room apartment for 14 to 30 per month. And about the law, literally yesterday a colleague complained that she rented a one-room apartment for 11 or 13 thousand, and the owner demands payment exclusively in dollars. Oh well, the war has brought so much crap to the surface that it's scary.",
Germany,"На любом бесплатном, но не факт что их привезут именно в Нюрнберг. Потом просто придётся на поездах добираться по Германии, они бесплатные для украинцев","<There are free buses, but it's not guaranteed that they will bring you to Nuremberg. Then you will have to travel by trains across Germany, they are free for Ukrainians>",
France,"У меня для украинских карт не требовалось например. Если подтягивать их через банковские приложения, то просто нажимаете кнопку добавить в Google pay и все. Но на счёт этой французской карты для выплат утверждать ничего не могу. Будет отлично,если все получится. Я ещё не получила деньги, поэтому не пробовала.","For example, I didn't need Ukrainian cards. If you pull them through banking applications, you just press the add to Google pay button and that's it. But I can't say anything about this French card for payments. It will be great if everything works out. I haven't received the money yet, so I haven't tried.",
Poland,"Добрый день! Подскажи, нужна помощь. Девушке с ребёнком нужно жильё. С нынешнего выгоняют. Рассмотрим все варианты. На данный момент находятся в Вроцлаве. Спасибо",Hello! Can you help me? A girl with a child needs accommodation. They are being evicted from their current place. We will consider all options. Currently located in Wroclaw. Thank you.,
Spain,Особенно если по государственному страхованию да ещё нужен хороший специалист... Тогда вы меня вспомните!!!,Translation: Especially if it concerns state insurance and you also need a good specialist... Then you will remember me!!!,
Belgium,"Я меняла доллары на евро, никто ничего не спросил, я даже злоты меняла (если кому то надо), все приняли, обменник находиться очи в центре Брюсселя, за площадью))) но гривны никто не меняет, если кто то не знает","I exchanged dollars for euros, no one asked anything, I even exchanged zlotys (if someone needs it), everyone accepted it, the exchange office is located in the center of Brussels, behind the square))) but no one exchanges hryvnias, if someone doesn't know.",
Portugal,Lisbon needs to commandeer one of those horrible cruise ships on the Tejo and turn it into temporary housing. #occupy,Lisbon needs temporary housing. ,
Portugal,"Всем привет! Подскажите , возможно кто-то сталкивался с этим. Как португальцы реагируют на отказ от вакцинации? Ребёнку и в целом от ковид?","Hello everyone! Can someone advise, perhaps someone has encountered this. How do the Portuguese react to refusal of vaccination? For a child and in general from COVID?",
Switzerland,"Подскажите, пожалуйста, как обстоят дела с обменом валют в Швейцарии? Где менять и можно ли доллары на франки и где можно обменять","Please tell me, how is the currency exchange situation in Switzerland? Where can I exchange dollars for francs and where can I exchange them?",
Germany,"Мне сказали парамедики и доктора в госпитале, что никакой оплаты не будет. Так что, в данном случае, если скорая помощь, то, возможно, бесплатная она только для нас сейчас","I was told by paramedics and doctors at the hospital that there will be no payment. So in this case, if it's an emergency, it's possible that it's free only for us now.",
Belgium,"Всем доброго дня 💙💛 Слышала, что где-то в Брюсселе можно поменять гривны (наличные) на евро Может, кто-то знает адрес где можно жто сделать? Или подскажет к кому/куда обращаться для обмена?",Good day 💙💛 I heard that somewhere in Brussels you can exchange hryvnias (cash) for euros. Maybe someone knows the address where this can be done? Or can you suggest who/where to contact for exchange? ,
Poland,Добрый вечер! Если кто-то может помочь с жильем в Кракове начиная с 13 марта - будем очень благодарны. Возможно за оплату. Я и дочь (13лет),Good evening! If someone can help with accommodation in Krakow starting from March 13th - we would be very grateful. Payment is possible. Me and my daughter (13 years old).,
Spain,"Мені теж видали в консульстві документ, що дитина громадянин України і вклеїли в мій закордонний паспорт",I also received a document at the consulate stating that my child is a citizen of Ukraine and they glued it into my passport.,
Spain,"Добрый вечер! Подскажите пожалуйста, на сколько четко по расписанию ходят автобусы Alsa? Совпадают ли рейсы с расписанием?",Good evening! Please tell me how strictly Alsa buses follow the schedule? Do the flights coincide with the schedule?,
Switzerland,Добрый день. Есть у кого-то опыт покупки билетов на поезда международного следования из Швейцарии онлайн со скидкой для украинцев?,Good day. Does anyone have experience buying discounted online tickets for international trains from Switzerland for Ukrainians?,
Portugal,"Добрый вечер , подскажите пожалуйста кто летал последнее время с Кракова в Лиссабон авиакомпанией Ryanair, нужны ПЦР тесты или ковид сертификаты ?их смотрят ?","Good evening, please tell me who flew recently from Krakow to Lisbon with Ryanair, do I need PCR tests or Covid certificates? Do they check them?",
Spain,"Видимо отели не могут на долго поселять беженцев, так как приближается май ( сезон туризма) и скорее всего отели будут пользоваться спросом.","It seems that hotels cannot accommodate refugees for a long time, as May is approaching (tourism season) and hotels are likely to be in demand.",
Germany,"добрый день, подскажите, пожалуйста, статус временной защиты еще не оформлен, но срочно нужны услуги стоматолога. г. Кельн, Дормунд или Дюсельдорф.","Hello, please tell me, the status of temporary protection has not yet been formalized, but dental services are urgently needed. Cologne, Dortmund or Dusseldorf.",
Germany,Здравствуйте такой вопрос я приехал с женой. Уже я работаю мед страхования делается и банковская карточка тоже делается мы прописаны на квартире. Можем ли мы идти ви джоб центр или надо страховка жене или нам ещё надо соц страховка?,"Hello, I have a question. My wife and I have arrived. I am already working, we have health insurance and a bank card. We are registered at the apartment. Can we go to the job center or does my wife need insurance or do we need social insurance? ",
Switzerland,"Тут столько беженцев было и есть всегда, никто не умер от голода или не оказании помощи- всем беженцам страна помогает","There have always been and still are so many refugees, no one has died of hunger or lack of assistance - the country helps all refugees.",
Poland,"Подскажите пожалуйста, как с карты приват расплатиться? На карте есть деньги. Карты нет, она в Украине осталась. Плачу через телефон не даёт. Карта виза, какие мои действия, можно что то придумать?","Please tell me how to pay with a PrivatBank card? There is money on the card, but I don't have the card with me, it's in Ukraine. I can't pay through the phone. The card is Visa, what should I do?",
Switzerland,"Спасибо за ответ. Могут узнать сколько счетов и в каких банках? Если нет, то есть ли смысл со всех банков предоставлять информацию, или можно с любого на выбор где открыт счёт?","Thank you for your response. Can you find out how many accounts and in which banks? If not, is there any point in providing information from all banks, or can it be from any bank where the account is open?",
Belgium,"Какая именно страховка? Как называется? Это сумма за год? Возможно, это просто обязательная сумма, которую ежемесячно платят все. А про бельгийцев не понятно - хозяева квартиры хотят, чтобы вы вписали их в вашу страховку? Звучит странно, возможно, вы чего-то не поняли","What insurance exactly? What is it called? Is this the amount for the year? Perhaps this is just a mandatory amount that everyone pays monthly. And about the Belgians, it is not clear - do the owners of the apartment want you to include them in your insurance? It sounds strange, maybe you didn't understand something.",
Belgium,"Я знаю меняли доллары на евро года 4 назад, в Брюсселе, в банке BNP Paribas, не везде он есть, нужно спрашивать меняют с паспортом и всеми делами хоть 50$хоть 500, но с паспортом","I know they exchanged dollars for euros about 4 years ago in Brussels, at BNP Paribas bank. It's not everywhere, you have to ask. They exchange with a passport and everything, whether it's $50 or $500.",
Germany,Либо привязать свою немецкую карту к paypal (заранее там зарегистрироваться). Paypal с начала войны разрешила украинцам принимать деньги с других стран (ранее было запрещено). Я так скидываю деньги со своей sparkasse giro на приватбанк. Приходит моментально. Но у получателя должен быть тоже paypal.,"To link your German card to PayPal (register there in advance). Since the beginning of the war, PayPal has allowed Ukrainians to receive money from other countries (previously prohibited). This is how I transfer money from my Sparkasse Giro to PrivatBank. It arrives instantly. But the recipient must also have PayPal.",
